mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
7706.888034063967,9.262013112813307,0.8900128072166735,0.0052862607828927785,0.0,0.0,0.0,inf,2.5,50.0,10
7682.106998274221,9.27600009036351,0.8908379851699554,-0.006460110381959269,0.0,0.0,0.0,inf,2.5,50.0,10
8457.347494395251,8.858461856747866,0.8797407651031951,0.023030308420838246,0.0,0.0,0.0,inf,2.5,50.0,10
7644.28530184997,9.297434733396075,0.8901338440415554,-0.007357178544568109,0.0,0.0,0.0,inf,2.5,50.0,10
7709.042273511717,9.260799336813703,0.890501795573894,-0.003831543754165581,0.0,0.0,0.0,inf,2.5,50.0,10
7760.987935678457,9.23163352534442,0.8885404587555338,0.013254565877522205,0.0,0.0,0.0,inf,2.5,50.0,10
7728.950484669602,9.249598358579622,0.8902368500127611,-0.0050336619919981946,0.0,0.0,0.0,inf,2.5,50.0,10
7686.427154400735,9.273558452146766,0.8902775110239338,0.00016350868819697787,0.0,0.0,0.0,inf,2.5,50.0,10
7884.53653973323,9.163041906794609,0.8893404847221763,-0.005209214212845152,0.0,0.0,0.0,inf,2.5,50.0,10
7700.665150562088,9.265521215730052,0.8885472707869964,-0.006252643540267207,0.0,0.0,0.0,inf,2.5,50.0,10
8002.003822518992,9.098816063644835,0.8874252025773418,0.014565513436705096,0.0,0.0,0.0,inf,2.5,50.0,10
8176.540184835729,9.005107853737787,0.8863126848846898,0.018843413286477213,0.0,0.0,0.0,inf,2.5,50.0,10
7944.465960226448,9.130156523165784,0.8881236602443258,0.011320365558819396,0.0,0.0,0.0,inf,2.5,50.0,10
7894.3495104917665,9.157640106455375,0.8893820390966048,-0.009421310824930456,0.0,0.0,0.0,inf,2.5,50.0,10
7669.779664844115,9.282974730228197,0.8904691365766755,-0.013075731912584645,0.0,0.0,0.0,inf,2.5,50.0,10
7702.029273721391,9.264751959201353,0.8908999065032244,0.0016390661103877799,0.0,0.0,0.0,inf,2.5,50.0,10
7624.0541120304515,9.30894390804163,0.8908871687062402,-0.0022666320129584574,0.0,0.0,0.0,inf,2.5,50.0,10
7735.144965403784,9.246119035843046,0.8877701435499868,0.009869890700083466,0.0,0.0,0.0,inf,2.5,50.0,10
7743.015644908953,9.241702241033117,0.8898494810044756,-0.006988008400977137,0.0,0.0,0.0,inf,2.5,50.0,10
7651.744520249674,9.293198996822895,0.8912157037054527,0.011473288500465915,0.0,0.0,0.0,inf,2.5,50.0,10
8322.930355962,8.928041002789298,0.8771470070210691,0.02531393948961061,0.0,0.0,0.0,inf,2.5,50.0,10
8501.30899501621,8.835945592073397,0.8778567930992344,0.014915359924570685,0.0,0.0,0.0,inf,2.5,50.0,10
8077.73474621377,9.057907730078282,0.8779486752286318,0.02515996019072802,0.0,0.0,0.0,inf,2.5,50.0,10
7875.173835905873,9.168202117216468,0.8836924595101519,0.013406537785320683,0.0,0.0,0.0,inf,2.5,50.0,10
7812.8712923985095,9.202696909755261,0.8883555431295891,0.011191144745059839,0.0,0.0,0.0,inf,2.5,50.0,10
8046.582700279027,9.074688816815545,0.883964179734198,0.014315715499652519,0.0,0.0,0.0,inf,2.5,50.0,10
8221.786051837873,8.981141895322095,0.884595297896893,0.018673773863840677,0.0,0.0,0.0,inf,2.5,50.0,10
7848.069466621506,9.183175223526854,0.8863892812405019,0.012148871691200427,0.0,0.0,0.0,inf,2.5,50.0,10
7753.333220431929,9.235919115191919,0.8860042563574962,0.02313318611960946,0.0,0.0,0.0,inf,2.5,50.0,10
7732.404799922582,9.247657791209594,0.8894014562618747,-0.0030404600374884846,0.0,0.0,0.0,inf,2.5,50.0,10
7718.8028418896465,9.255304127961624,0.8901024650793055,0.0006102023404775635,0.0,0.0,0.0,inf,2.5,50.0,10
7728.921372235932,9.249614717065985,0.8901889366502386,0.003867374277167745,0.0,0.0,0.0,inf,2.5,50.0,10
8670.529652747537,8.75034733029565,0.8720987591528784,0.029285887456138512,0.0,0.0,0.0,inf,2.5,50.0,10
7714.024128643086,9.25799367909036,0.8901296739327698,0.002857395314399191,0.0,0.0,0.0,inf,2.5,50.0,10
8253.243189625973,8.964557186718608,0.8792806698757002,0.01908600930224426,0.0,0.0,0.0,inf,2.5,50.0,10
7731.058257124885,9.24841414973809,0.8878785227935304,0.010794274188212015,0.0,0.0,0.0,inf,2.5,50.0,10
7749.537717133595,9.238045645404398,0.88946064663488,0.0023913383260480564,0.0,0.0,0.0,inf,2.5,50.0,10
8042.796019419042,9.076733065585167,0.8852378031097341,0.019739165717054932,0.0,0.0,0.0,inf,2.5,50.0,10
8111.7892775922965,9.039637005314518,0.8841915258324399,0.016829297464310538,0.0,0.0,0.0,inf,2.5,50.0,10
7948.023096401671,9.128212403987762,0.8837514160399116,0.019279297791679095,0.0,0.0,0.0,inf,2.5,50.0,10
8045.112304640248,9.07548249916376,0.88350005898979,0.01939615732088422,0.0,0.0,0.0,inf,2.5,50.0,10
8205.83029305979,8.989578299028466,0.8857778274130806,0.0188389232352709,0.0,0.0,0.0,inf,2.5,50.0,10
7687.229883388977,9.27310492209921,0.890064437003747,0.005276167420668335,0.0,0.0,0.0,inf,2.5,50.0,10
7945.814277189078,9.129419510842045,0.8849794711677621,0.01159983370644321,0.0,0.0,0.0,inf,2.5,50.0,10
8015.2728504378965,9.091620499703062,0.882076732259152,0.019854202392026503,0.0,0.0,0.0,inf,2.5,50.0,10
8327.554587829229,8.925628726580658,0.8779120197104617,0.019045231951594403,0.0,0.0,0.0,inf,2.5,50.0,10
8930.135578458412,8.622223084150434,0.8518368035099665,0.0447404114002429,0.0,0.0,0.0,inf,2.5,50.0,10
8130.543878324544,9.02960762942379,0.8811332600627482,0.023968937722480786,0.0,0.0,0.0,inf,2.5,50.0,10
9331.198867760197,8.431429155989905,0.8475459966586047,0.04385307263616081,0.0,0.0,0.0,inf,2.5,50.0,10
7695.1907066015065,9.268609736336932,0.8902680354421665,0.00020569132845616248,0.0,0.0,0.0,inf,2.5,50.0,10
7845.609280495476,9.184536848528817,0.8868251300914181,0.01730814962749154,0.0,0.0,0.0,inf,2.5,50.0,10
8565.007193432364,8.803526288183752,0.8764833426773634,0.018703500170353403,0.0,0.0,0.0,inf,2.5,50.0,10
7689.807309559524,9.271649034388437,0.8899353607573807,0.004100427496094319,0.0,0.0,0.0,inf,2.5,50.0,10
8189.077369719843,8.99845386556931,0.8766723552973925,0.023981140829168957,0.0,0.0,0.0,inf,2.5,50.0,10
8942.649263721552,8.616141630818916,0.8613681353471682,0.03456803662702706,0.0,0.0,0.0,inf,2.5,50.0,10
7949.617409396623,9.127341329644116,0.8808939784781806,0.019352906250081285,0.0,0.0,0.0,inf,2.5,50.0,10
7939.342478347124,9.132958244168774,0.8813388729488504,0.018332509917996665,0.0,0.0,0.0,inf,2.5,50.0,10
8413.750133062369,8.880907504347968,0.8598193936120392,0.0344206358773379,0.0,0.0,0.0,inf,2.5,50.0,10
7767.265705391848,9.228121989589349,0.8846492412304919,0.02927608798669889,0.0,0.0,0.0,inf,2.5,50.0,10
8515.13022370607,8.828890667601888,0.8776962134162574,0.024534185081998693,0.0,0.0,0.0,inf,2.5,50.0,10
8032.012435283302,9.082559886851513,0.876620884043979,0.021360284244469174,0.0,0.0,0.0,inf,2.5,50.0,10
8977.708101482234,8.599148800936996,0.8556910192475706,0.04440485026513278,0.0,0.0,0.0,inf,2.5,50.0,10
9066.981000306447,8.556176551932028,0.8688480046687531,0.033232798982556266,0.0,0.0,0.0,inf,2.5,50.0,10
9105.934323639942,8.537558472242727,0.8556139760789202,0.038502514791508374,0.0,0.0,0.0,inf,2.5,50.0,10
9048.292188835663,8.565137444202167,0.8676815720770485,0.03220833383385709,0.0,0.0,0.0,inf,2.5,50.0,10
8902.897646812147,8.635489803795819,0.8657068804492991,0.04475219500676157,0.0,0.0,0.0,inf,2.5,50.0,10
9614.424331865615,8.301570750993129,0.8475637725509836,0.046804525498040386,0.0,0.0,0.0,inf,2.5,50.0,10
9091.399380655152,8.5444962434328,0.8654189975686251,0.026835215885391932,0.0,0.0,0.0,inf,2.5,50.0,10
10035.244044450896,8.115524224231187,0.84670145596063,0.042401443757794484,0.0,0.0,0.0,inf,2.5,50.0,10
10372.27462460283,7.972063538918196,0.8463920262298463,0.04499918878255138,0.0,0.0,0.0,inf,2.5,50.0,10
8393.750262092546,8.891243172943936,0.8755790698087208,0.02771405134203517,0.0,0.0,0.0,inf,2.5,50.0,10
