mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
5830.749455653941,10.473559804595032,0.8883106308823878,-0.019607092575811905,0.0,0.0,0.0,inf,2.5,50.0,10
5969.953081401913,10.371094428990634,0.8878159167506123,-0.009455336707060691,0.0,0.0,0.0,inf,2.5,50.0,10
5875.120046450864,10.440636158852367,0.8888046803146792,-0.006243722026506283,0.0,0.0,0.0,inf,2.5,50.0,10
5850.73069789197,10.45870252350616,0.8892007720659875,-0.0053906748776996445,0.0,0.0,0.0,inf,2.5,50.0,10
5952.498008096643,10.383811021203133,0.8894762726068657,-0.010060313379988523,0.0,0.0,0.0,inf,2.5,50.0,10
5860.679682585765,10.451323753482605,0.8891677809401438,-0.005820500163626477,0.0,0.0,0.0,inf,2.5,50.0,10
5911.119933549458,10.414105898204411,0.888734945565357,0.0036322615519099105,0.0,0.0,0.0,inf,2.5,50.0,10
5971.330817244883,10.370092287040313,0.8887459981167442,-0.009084023111388501,0.0,0.0,0.0,inf,2.5,50.0,10
5911.8533733326885,10.413567067839484,0.8885960418341587,0.003763347775471247,0.0,0.0,0.0,inf,2.5,50.0,10
5958.570926275383,10.379382476465222,0.8870584128233773,-0.007143699472473393,0.0,0.0,0.0,inf,2.5,50.0,10
5881.249157271657,10.436107823269365,0.8893241909296735,0.003907325495226846,0.0,0.0,0.0,inf,2.5,50.0,10
5853.436831664006,10.456694249133013,0.8894373292662343,-0.008763238087940085,0.0,0.0,0.0,inf,2.5,50.0,10
6051.510588538895,10.312165633428629,0.8830562122217865,0.018454449017691735,0.0,0.0,0.0,inf,2.5,50.0,10
5896.149578232609,10.425118683478114,0.8885693255468713,0.0027543639157706795,0.0,0.0,0.0,inf,2.5,50.0,10
5961.6828438251,10.377114926332904,0.8883075075064405,-0.0032863313629877605,0.0,0.0,0.0,inf,2.5,50.0,10
5950.659860324833,10.38515234163153,0.8890516164205476,0.008713099093438629,0.0,0.0,0.0,inf,2.5,50.0,10
5885.52045934743,10.432954871246059,0.888471303038505,-0.0019558744716118254,0.0,0.0,0.0,inf,2.5,50.0,10
6369.1130788213095,10.090014013413068,0.8809655167426552,0.019421403743859828,0.0,0.0,0.0,inf,2.5,50.0,10
5936.330172093998,10.395623129482237,0.8881901240052635,0.0027913649561298113,0.0,0.0,0.0,inf,2.5,50.0,10
5939.33863969936,10.393422729776503,0.8865067492717914,-0.00870987650616801,0.0,0.0,0.0,inf,2.5,50.0,10
6259.927823744778,10.165110349945529,0.8846278762215042,0.018214221981918556,0.0,0.0,0.0,inf,2.5,50.0,10
6270.218383574458,10.157976938602113,0.8879190072402492,0.019994517671081766,0.0,0.0,0.0,inf,2.5,50.0,10
6349.184093804939,10.103624412963867,0.8805900426203023,0.022759913038958413,0.0,0.0,0.0,inf,2.5,50.0,10
6163.929323720585,10.232227104604195,0.8837179386680819,0.022463970383949504,0.0,0.0,0.0,inf,2.5,50.0,10
