mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
5269.901227399558,10.912778854651041,0.8805315534034922,0.002430491012486369,0.0,0.0,0.0,inf,2.5,50.0,10
5539.55597490363,10.69605405774401,0.8800547638971185,0.003910852239999323,0.0,0.0,0.0,inf,2.5,50.0,10
6439.900243544459,10.042012208394217,0.8555683755166098,-0.01244990546229215,0.0,0.0,0.0,inf,2.5,50.0,10
5682.003306398284,10.585788787618606,0.8754740372911729,0.0065275587645644865,0.0,0.0,0.0,inf,2.5,50.0,10
5732.359090982403,10.547469728712414,0.8565055778427931,0.011480865785589798,0.0,0.0,0.0,inf,2.5,50.0,10
5352.3536394574285,10.845355605567498,0.8813356785090879,-0.004197524889881747,0.0,0.0,0.0,inf,2.5,50.0,10
6494.097901646747,10.00561529330552,0.8408505562395994,-0.01870237500311909,0.0,0.0,0.0,inf,2.5,50.0,10
5744.317478750343,10.538419262459318,0.8738648510566888,0.010589385487008423,0.0,0.0,0.0,inf,2.5,50.0,10
5956.1941742875115,10.381115133849843,0.8639856753725448,0.010998617426021476,0.0,0.0,0.0,inf,2.5,50.0,10
6104.930872082708,10.273996102025698,0.8622145363593352,0.010606028663938786,0.0,0.0,0.0,inf,2.5,50.0,10
5829.619973871389,10.474401163370278,0.8727955781745583,-0.007854276223692364,0.0,0.0,0.0,inf,2.5,50.0,10
5813.256560378059,10.486608704768617,0.8649216470588675,-0.010616641948730023,0.0,0.0,0.0,inf,2.5,50.0,10
5462.897727456008,10.756572908342486,0.8763072083772161,0.005894457997678377,0.0,0.0,0.0,inf,2.5,50.0,10
6419.008677279398,10.056123980996608,0.8560230253923728,-0.011703164440725729,0.0,0.0,0.0,inf,2.5,50.0,10
5380.56991016274,10.822520822776694,0.8822406560302745,0.003722558860613884,0.0,0.0,0.0,inf,2.5,50.0,10
5710.870873050435,10.563780203066496,0.8762073345390572,0.005285344346848432,0.0,0.0,0.0,inf,2.5,50.0,10
5266.030080159998,10.915970253515276,0.8811524465609586,-0.000819716460677464,0.0,0.0,0.0,inf,2.5,50.0,10
5297.910259511943,10.889757632919094,0.8823578570243337,-0.002228619184250171,0.0,0.0,0.0,inf,2.5,50.0,10
5376.988742117062,10.825412336787874,0.8799912783256559,0.0022203378002272757,0.0,0.0,0.0,inf,2.5,50.0,10
5324.03414461057,10.868395287969772,0.8799116771137667,0.0022689989797948875,0.0,0.0,0.0,inf,2.5,50.0,10
5445.376574571378,10.770524421382287,0.8792589238394355,-0.003005845153487306,0.0,0.0,0.0,inf,2.5,50.0,10
5539.509765971517,10.696090285138451,0.8806115073066338,0.0035799504373653893,0.0,0.0,0.0,inf,2.5,50.0,10
6007.567990838857,10.343816662227605,0.8662742804018554,0.009357293431185723,0.0,0.0,0.0,inf,2.5,50.0,10
5594.020838373574,10.653562810322947,0.876271797661019,-0.005081185005784378,0.0,0.0,0.0,inf,2.5,50.0,10
5885.8992596893595,10.43267536222807,0.8739842814140664,-0.009644334235529623,0.0,0.0,0.0,inf,2.5,50.0,10
5390.509217593265,10.814505678620687,0.8793441616788341,-0.0035220977723401025,0.0,0.0,0.0,inf,2.5,50.0,10
5470.099304849922,10.750851502279213,0.8792091848622654,0.004147648557079433,0.0,0.0,0.0,inf,2.5,50.0,10
5294.392009806294,10.892642664804445,0.8783482912486948,0.002054329896407329,0.0,0.0,0.0,inf,2.5,50.0,10
7177.181577716488,9.571264271474,0.8274998807418009,0.01751209314633809,0.0,0.0,0.0,inf,2.5,50.0,10
5280.809890163062,10.903798277553427,0.8810109579704918,-0.0016688491914121641,0.0,0.0,0.0,inf,2.5,50.0,10
5504.954097514556,10.723266588642717,0.8733049799249848,-0.005189180522717662,0.0,0.0,0.0,inf,2.5,50.0,10
5438.219641618683,10.776236167527566,0.8765108766659071,0.0035438478564151776,0.0,0.0,0.0,inf,2.5,50.0,10
5714.761374816535,10.560822601285697,0.8741150140274556,-0.008596514809406867,0.0,0.0,0.0,inf,2.5,50.0,10
6773.364848954049,9.822758912530048,0.8374794075945013,-0.013871031902435412,0.0,0.0,0.0,inf,2.5,50.0,10
6179.1752068515025,10.221498513160565,0.8504036588889717,0.015902830986818623,0.0,0.0,0.0,inf,2.5,50.0,10
5677.8026644731535,10.589000665878437,0.8726792961486168,-0.007169945505969772,0.0,0.0,0.0,inf,2.5,50.0,10
6439.355978129385,10.042379266029426,0.8527830601095197,0.01220558493700422,0.0,0.0,0.0,inf,2.5,50.0,10
5697.094804922502,10.574269142895666,0.8724656789715636,0.00862494957771461,0.0,0.0,0.0,inf,2.5,50.0,10
5610.515394912985,10.640776024842125,0.86739161998147,-0.007641468417567047,0.0,0.0,0.0,inf,2.5,50.0,10
5474.518491637232,10.74734433816217,0.8769938528281681,0.003656042005105309,0.0,0.0,0.0,inf,2.5,50.0,10
5589.6466669892425,10.656960047572843,0.8744501802558684,-0.005968902797528349,0.0,0.0,0.0,inf,2.5,50.0,10
5874.82595442009,10.440853559930048,0.8711474104000954,0.006529625877124875,0.0,0.0,0.0,inf,2.5,50.0,10
5617.147949226625,10.635644980231842,0.870999525391641,0.007698439812230911,0.0,0.0,0.0,inf,2.5,50.0,10
6013.048031483363,10.339856879179926,0.8612394438138218,0.010366680963377985,0.0,0.0,0.0,inf,2.5,50.0,10
6603.3259786132485,9.933176237617154,0.8248516472692765,0.021901342578600682,0.0,0.0,0.0,inf,2.5,50.0,10
6273.930291446912,10.155406718501643,0.8598879252538051,0.012642089293505658,0.0,0.0,0.0,inf,2.5,50.0,10
6111.878985822809,10.26905614172934,0.8554450938569289,0.009466609731536964,0.0,0.0,0.0,inf,2.5,50.0,10
7135.150320156126,9.596772337989346,0.8172756200781166,0.021578572099161523,0.0,0.0,0.0,inf,2.5,50.0,10
6929.965048950823,9.72349316600414,0.8057989198274554,0.028056803387109766,0.0,0.0,0.0,inf,2.5,50.0,10
6460.196206512798,10.02834652453042,0.8576056842930442,0.01085106119474047,0.0,0.0,0.0,inf,2.5,50.0,10
5604.8891630780145,10.645133320438855,0.8777274854712381,-0.005261564326723625,0.0,0.0,0.0,inf,2.5,50.0,10
5447.04983790584,10.76919011989403,0.8806547806779095,0.003438289900480249,0.0,0.0,0.0,inf,2.5,50.0,10
7566.26335059112,9.341989076386367,0.8199299872420619,0.015136312705648719,0.0,0.0,0.0,inf,2.5,50.0,10
