mse,psnr,ssim,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
6610.400525797971,9.92852586575297,0.891018582789821,-0.0026036870185429345,0.0,0.0,0.0,inf,2.5,50.0,10
6224.286237318753,10.189908044522092,0.9009578812882376,-0.0005181642218512611,0.0,0.0,0.0,inf,2.5,50.0,10
9799.556023289946,8.218739607879726,0.761481639672529,-0.015845184572336073,0.0,0.0,0.0,inf,2.5,50.0,10
7339.694182351897,9.474023960041492,0.8724557666657119,-0.004228060373715035,0.0,0.0,0.0,inf,2.5,50.0,10
8398.554345897646,8.888758240478998,0.8310513800306918,-0.008781198524406272,0.0,0.0,0.0,inf,2.5,50.0,10
7865.316156191029,9.173641765494725,0.8475024187853668,-0.008104635075864912,0.0,0.0,0.0,inf,2.5,50.0,10
6191.123191561426,10.213109151358886,0.9016840226065675,-8.714057238963701e-05,0.0,0.0,0.0,inf,2.5,50.0,10
9972.577200367736,8.142729538841344,0.767345696469739,0.015934508712449186,0.0,0.0,0.0,inf,2.5,50.0,10
8207.841663844132,8.988513909244917,0.8119980083347144,-0.013630657112081612,0.0,0.0,0.0,inf,2.5,50.0,10
8813.053595909743,8.679539496091657,0.8033801656604985,-0.0103321370487702,0.0,0.0,0.0,inf,2.5,50.0,10
7646.378429380171,9.29624572844777,0.8705591209558958,0.005708259715628586,0.0,0.0,0.0,inf,2.5,50.0,10
6474.530152739472,10.018721030916534,0.8986524879561862,-0.0010997977745669802,0.0,0.0,0.0,inf,2.5,50.0,10
8451.453460428058,8.86148956585464,0.8377174390645649,0.009311521989157495,0.0,0.0,0.0,inf,2.5,50.0,10
10520.557749068563,7.910415962477385,0.7354461046869437,-0.016063090434987527,0.0,0.0,0.0,inf,2.5,50.0,10
6583.214883630909,9.946423296779951,0.8930088840935742,-0.0019787761257806253,0.0,0.0,0.0,inf,2.5,50.0,10
6707.000693537201,9.86552009619049,0.8911878935573905,0.00312630301162149,0.0,0.0,0.0,inf,2.5,50.0,10
8298.969306946663,8.94056202479893,0.8349330934866772,-0.008777825560836044,0.0,0.0,0.0,inf,2.5,50.0,10
7179.276205222496,9.569996987875621,0.8711021805354252,0.004660421428259805,0.0,0.0,0.0,inf,2.5,50.0,10
6160.735923614136,10.234477674575784,0.9011260116780365,0.0005930523401924378,0.0,0.0,0.0,inf,2.5,50.0,10
8117.712456250706,9.036466970937525,0.8360868782648332,0.007635962131051971,0.0,0.0,0.0,inf,2.5,50.0,10
7603.941162239319,9.320416131444748,0.8469803911326306,0.007764763623115525,0.0,0.0,0.0,inf,2.5,50.0,10
10274.728504378962,8.013100058047531,0.7439028316027324,0.01717070695295161,0.0,0.0,0.0,inf,2.5,50.0,10
9510.411912711086,8.34881033463268,0.7725423621504435,-0.013516246213343401,0.0,0.0,0.0,inf,2.5,50.0,10
7168.510862728021,9.576514131873319,0.8769944601829913,-0.005009284044325308,0.0,0.0,0.0,inf,2.5,50.0,10
7110.855647489557,9.611584984468887,0.8818659411540481,-0.0039202919689805904,0.0,0.0,0.0,inf,2.5,50.0,10
8071.227012467541,9.061407983594153,0.8548699650821079,0.005272606161122847,0.0,0.0,0.0,inf,2.5,50.0,10
7991.881405138627,9.10431330279117,0.8483409752152646,0.005798159436325151,0.0,0.0,0.0,inf,2.5,50.0,10
8628.4735084918,8.771463908163478,0.8179633793002555,0.009028950807742646,0.0,0.0,0.0,inf,2.5,50.0,10
7518.09707907937,9.369724315310489,0.8685204591703535,0.006129248403116025,0.0,0.0,0.0,inf,2.5,50.0,10
7626.830454347511,9.307362688072066,0.8692530795183186,0.0040392292744630826,0.0,0.0,0.0,inf,2.5,50.0,10
7997.888582442219,9.101050111288687,0.8371723878497558,-0.006928727920764173,0.0,0.0,0.0,inf,2.5,50.0,10
7208.442912211093,9.552388974890707,0.8762410892965814,-0.00492038667689081,0.0,0.0,0.0,inf,2.5,50.0,10
9947.821357720037,8.15352383229907,0.7417498366012232,0.01805245674542193,0.0,0.0,0.0,inf,2.5,50.0,10
9517.295317817454,8.345668153655655,0.7718837263944751,0.016045801040191474,0.0,0.0,0.0,inf,2.5,50.0,10
8636.540249350817,8.767405595385876,0.8328434155409953,0.0066449138580254195,0.0,0.0,0.0,inf,2.5,50.0,10
9178.276108449863,8.50319242508996,0.8020475389803663,0.011246001714903243,0.0,0.0,0.0,inf,2.5,50.0,10
8069.445847647618,9.062366493889845,0.8392963641298667,0.009014638669765795,0.0,0.0,0.0,inf,2.5,50.0,10
8864.436525217336,8.654292263191696,0.8211676975964577,0.010712304249586113,0.0,0.0,0.0,inf,2.5,50.0,10
6334.0146449250815,10.114012976951688,0.8994949540061677,-0.0009496026263257064,0.0,0.0,0.0,inf,2.5,50.0,10
7702.510765955388,9.264480468563095,0.8637865707208652,0.004921975032742317,0.0,0.0,0.0,inf,2.5,50.0,10
8026.585135723617,9.085495443745229,0.831777510456543,0.008850317439034507,0.0,0.0,0.0,inf,2.5,50.0,10
6251.656666827955,10.170852417761038,0.8982160402803221,0.0012948369801661919,0.0,0.0,0.0,inf,2.5,50.0,10
9861.266495701682,8.191476653209788,0.7601822909185564,0.01869178095772677,0.0,0.0,0.0,inf,2.5,50.0,10
10369.45233141401,7.973245413858871,0.7631776450394062,0.014286919661371758,0.0,0.0,0.0,inf,2.5,50.0,10
8074.753326559249,9.059510968060032,0.8510913860287599,0.005408030140605148,0.0,0.0,0.0,inf,2.5,50.0,10
11386.435363945742,7.566925756884894,0.6757830481293206,0.02694209944463167,0.0,0.0,0.0,inf,2.5,50.0,10
12204.843696069418,7.265481389638813,0.6475455864766905,0.03305478893079838,0.0,0.0,0.0,inf,2.5,50.0,10
6822.896598441961,9.791115713066553,0.8909877722147357,0.002054020186077088,0.0,0.0,0.0,inf,2.5,50.0,10
9553.39983226077,8.32922406495885,0.737115017826068,0.016198774099773897,0.0,0.0,0.0,inf,2.5,50.0,10
7478.6888598570995,9.392548954687816,0.8612093145189471,-0.006422665322589024,0.0,0.0,0.0,inf,2.5,50.0,10
8731.779600329028,8.719775957603696,0.783396437155712,0.013862041034702741,0.0,0.0,0.0,inf,2.5,50.0,10
7812.088821148046,9.203131884237294,0.8522586191774932,0.005881037949609463,0.0,0.0,0.0,inf,2.5,50.0,10
9045.68331155949,8.56638981796915,0.8067610945356932,0.0102396090797045,0.0,0.0,0.0,inf,2.5,50.0,10
11565.28857599071,7.499238871510872,0.6824297523069175,0.02530175958560394,0.0,0.0,0.0,inf,2.5,50.0,10
6552.30717246496,9.966861118927921,0.8928477649402816,0.0020126597930904943,0.0,0.0,0.0,inf,2.5,50.0,10
6408.99337107466,10.062905384814071,0.8949384777592334,-0.0028082843302455474,0.0,0.0,0.0,inf,2.5,50.0,10
10094.447815357817,8.08997793636,0.7581041186278323,0.018055731788952784,0.0,0.0,0.0,inf,2.5,50.0,10
8982.591603361236,8.596787060870808,0.8084471147663562,0.010242857766226063,0.0,0.0,0.0,inf,2.5,50.0,10
7086.7623586716345,9.626324911158445,0.882979652890336,0.004388682327209056,0.0,0.0,0.0,inf,2.5,50.0,10
6268.13503008016,10.159420172661488,0.901391468397604,-0.0004574696283372766,0.0,0.0,0.0,inf,2.5,50.0,10
10221.479556781342,8.035665964940591,0.7479804936318563,-0.01567176505616725,0.0,0.0,0.0,inf,2.5,50.0,10
10289.19973871389,8.006987628378312,0.7129850059415812,0.01849348383921245,0.0,0.0,0.0,inf,2.5,50.0,10
10779.460524830245,7.804833344283208,0.7380123360833645,0.019332602251495367,0.0,0.0,0.0,inf,2.5,50.0,10
8888.978468089224,8.642285066651999,0.8249553603524421,0.008295946353193069,0.0,0.0,0.0,inf,2.5,50.0,10
8589.054015257818,8.79135026905943,0.806324929766944,0.010923115508919815,0.0,0.0,0.0,inf,2.5,50.0,10
10543.952049160498,7.900769386589802,0.7154582008551037,0.020485880229658616,0.0,0.0,0.0,inf,2.5,50.0,10
10893.104675731036,7.759286839246096,0.6830333675593735,0.024820262745002448,0.0,0.0,0.0,inf,2.5,50.0,10
7111.425218948081,9.611237133454074,0.8759941645122665,0.004178700121380557,0.0,0.0,0.0,inf,2.5,50.0,10
7565.777664876373,9.342267863135241,0.8693400680631379,-0.005394465966373113,0.0,0.0,0.0,inf,2.5,50.0,10
6457.371881098692,10.03024562651877,0.8991641705804422,-0.001446735019941598,0.0,0.0,0.0,inf,2.5,50.0,10
7780.4484766374735,9.220757297759892,0.8309773578714341,0.007516030935809064,0.0,0.0,0.0,inf,2.5,50.0,10
10067.07346655699,8.101771228908843,0.7511429162549894,0.018028686386427753,0.0,0.0,0.0,inf,2.5,50.0,10
10079.071111756262,8.096598515388791,0.7411277962799587,0.020377914726450147,0.0,0.0,0.0,inf,2.5,50.0,10
8862.210415961034,8.655383035715586,0.8144401153001858,0.010132730808205955,0.0,0.0,0.0,inf,2.5,50.0,10
8980.254092675925,8.597917358391513,0.8157904717923551,0.009950630801295178,0.0,0.0,0.0,inf,2.5,50.0,10
7686.225722165772,9.27367226582464,0.8546990607243873,-0.005516215566551573,0.0,0.0,0.0,inf,2.5,50.0,10
10746.298769374687,7.818214501808281,0.7392932985408747,0.01993257051226585,0.0,0.0,0.0,inf,2.5,50.0,10
9291.438750987887,8.449973924894499,0.7863049872541304,0.013007553942742297,0.0,0.0,0.0,inf,2.5,50.0,10
6386.398638731634,10.078243371752842,0.8995381162456252,0.0009465845170994001,0.0,0.0,0.0,inf,2.5,50.0,10
8485.618586796987,8.843968537498368,0.810564074237469,0.011130405861236826,0.0,0.0,0.0,inf,2.5,50.0,10
11364.312656247479,7.575371872940333,0.6559329438932934,0.02875513093475405,0.0,0.0,0.0,inf,2.5,50.0,10
9842.475476201997,8.199760195050505,0.7114479271344384,0.029565912576994115,0.0,0.0,0.0,inf,2.5,50.0,10
10483.508943404138,7.925736908448281,0.7548414595207895,0.0170356647287369,0.0,0.0,0.0,inf,2.5,50.0,10
8202.682295446848,8.991244699930736,0.8458215613431865,0.008506538528858673,0.0,0.0,0.0,inf,2.5,50.0,10
12153.854099127433,7.2836634231096395,0.6216130566424178,0.030650383219790037,0.0,0.0,0.0,inf,2.5,50.0,10
8917.136820373866,8.628549305636582,0.7856992472433125,0.014097521548616262,0.0,0.0,0.0,inf,2.5,50.0,10
9683.242979951936,8.270595312011235,0.7610361661101344,0.015758166534194644,0.0,0.0,0.0,inf,2.5,50.0,10
9332.804890243706,8.430681742183987,0.7949520812707664,0.014097151623683324,0.0,0.0,0.0,inf,2.5,50.0,10
8699.508475669747,8.735856452992557,0.8244451740775508,0.010997370595956537,0.0,0.0,0.0,inf,2.5,50.0,10
9904.686843760584,8.17239611854194,0.7884184441292227,0.012176891880560847,0.0,0.0,0.0,inf,2.5,50.0,10
9730.060950629828,8.249648001022003,0.7406728667412029,0.01711127607467723,0.0,0.0,0.0,inf,2.5,50.0,10
11186.40660634506,7.643897597427815,0.6769410091162176,0.025542006973020552,0.0,0.0,0.0,inf,2.5,50.0,10
9964.178964855406,8.146388416470419,0.7327803328454635,0.017132406433434177,0.0,0.0,0.0,inf,2.5,50.0,10
9276.470540797729,8.456975911381555,0.8054602241670876,0.009193940587563208,0.0,0.0,0.0,inf,2.5,50.0,10
11732.376235867163,7.436943793056409,0.6416612652020259,0.02801648058892592,0.0,0.0,0.0,inf,2.5,50.0,10
7704.667279560007,9.263264720991431,0.8645871508391202,0.00559109925653152,0.0,0.0,0.0,inf,2.5,50.0,10
11006.49668553733,7.71431253726504,0.6829630689419309,0.025326576434421304,0.0,0.0,0.0,inf,2.5,50.0,10
6808.6892146900855,9.800168497804087,0.8895214638880968,0.0026765038077039664,0.0,0.0,0.0,inf,2.5,50.0,10
11844.403461234497,7.3956716833070155,0.6500091026122198,0.031859328252134625,0.0,0.0,0.0,inf,2.5,50.0,10
10513.732972048838,7.913234182633411,0.7279889793405384,0.020890993349223414,0.0,0.0,0.0,inf,2.5,50.0,10
10157.934130094676,8.062749685821789,0.7302883987255541,0.020636139491094,0.0,0.0,0.0,inf,2.5,50.0,10
11741.764665086048,7.433469891082229,0.6506738216177264,0.030231695578173606,0.0,0.0,0.0,inf,2.5,50.0,10
11405.598909695005,7.5596226578864485,0.6731688529140882,0.023348794622789704,0.0,0.0,0.0,inf,2.5,50.0,10
12720.334897824228,7.085818154075248,0.5936446093628811,0.04120499957114856,0.0,0.0,0.0,inf,2.5,50.0,10
11795.907227302785,7.413490126230187,0.6436516075703447,0.02861998243383556,0.0,0.0,0.0,inf,2.5,50.0,10
8193.663957032952,8.996022124051617,0.8383921833936812,0.008018088189529364,0.0,0.0,0.0,inf,2.5,50.0,10
10363.056402316091,7.975924990014044,0.7201887451464163,0.020816883964126606,0.0,0.0,0.0,inf,2.5,50.0,10
11994.24385090563,7.3410748678251005,0.6129924174760466,0.040650974049574656,0.0,0.0,0.0,inf,2.5,50.0,10
12365.888840502572,7.208550226492011,0.6435723020463415,0.030131184583164515,0.0,0.0,0.0,inf,2.5,50.0,10
6976.442928339866,9.694463150862713,0.8741535635964404,0.00440493661497279,0.0,0.0,0.0,inf,2.5,50.0,10
6704.876260060321,9.866895936048085,0.885996620871378,0.004168768595293033,0.0,0.0,0.0,inf,2.5,50.0,10
12579.575087498588,7.134143890965986,0.6119138875762453,0.03558311820994753,0.0,0.0,0.0,inf,2.5,50.0,10
10658.91343688005,7.853674256349951,0.7033752449587358,0.02263946320036667,0.0,0.0,0.0,inf,2.5,50.0,10
11207.719859357107,7.6356309378789575,0.6883061957980268,0.02468582637036766,0.0,0.0,0.0,inf,2.5,50.0,10
12258.704198319381,7.246357951929877,0.6267118882563624,0.03529554998747815,0.0,0.0,0.0,inf,2.5,50.0,10
12038.636828438252,7.325030476507461,0.6448912081922523,0.03173165760667332,0.0,0.0,0.0,inf,2.5,50.0,10
11292.32584958307,7.602969592787817,0.6702914850991711,0.02645216530583485,0.0,0.0,0.0,inf,2.5,50.0,10
10149.618199706456,8.066306552570396,0.7500198552829224,0.016019544005144184,0.0,0.0,0.0,inf,2.5,50.0,10
10750.078014870727,7.816687448669912,0.7110948562867377,0.024505975607490613,0.0,0.0,0.0,inf,2.5,50.0,10
9959.578861631264,8.148393860924552,0.7719333661898611,0.01300802613030885,0.0,0.0,0.0,inf,2.5,50.0,10
13805.593474298801,6.730252800575595,0.5348756854987942,0.04640944915467686,0.0,0.0,0.0,inf,2.5,50.0,10
11594.192271092401,7.488398626956658,0.6588996454044074,0.028957518357258925,0.0,0.0,0.0,inf,2.5,50.0,10
13245.727294721053,6.910045513934141,0.5212299749525394,0.0588526665939657,0.0,0.0,0.0,inf,2.5,50.0,10
